編號 >>> 店家名稱
27190 >>> 全家便利商店 汐止鑫峰店
27191 >>> 全家便利商店 汐止鑫湖店
27193 >>> 全家便利商店 汐止茂盛店
27199 >>> 全家便利商店 汐止莊敬店
27208 >>> 全家便利商店 汐止龍安店
27213 >>> 全家便利商店 淡水學城店 
27218 >>> 全家便利商店 汐止和平店
27225 >>> 全家便利商店 汐止桂冠店
27230 >>> 全家便利商店 汐止青山店
27235 >>> 全家便利商店 三重五華店
27243 >>> 全家便利商店 三重華義店
27261 >>> 全家便利商店 汐止智興店
27265 >>> 全家便利商店 蘆洲信義店
27296 >>> 全家便利商店 蘆洲永樂店
27309 >>> 全家便利商店 基隆巴塞店
27316 >>> 全家便利商店 蘆洲保正店
27340 >>> 全家便利商店 板橋車站店
27342 >>> 全家便利商店 平溪十分店
27345 >>> 全家便利商店 七堵長安店
27348 >>> 全家便利商店 石碇雙溪店
27355 >>> 全家便利商店 瑞芳龍川店
27364 >>> 全家便利商店 貢寮澳底一店
27366 >>> 全家便利商店 鑫福隆店
27369 >>> 全家便利商店 金瓜石黃金店
27370 >>> 7-ELEVEN 九份門市
27373 >>> 7-ELEVEN 侯硐門市
27383 >>> 全家便利商店 板橋華德店
27386 >>> 全家便利商店 板橋貴興店
27387 >>> 全家便利商店 板橋觀光店
27389 >>> 全家便利商店 板橋雙城店
27400 >>> 全家便利商店 板橋公館店
27402 >>> 全家便利商店 板橋國民店
27403 >>> 全家便利商店 板橋信義店
27404 >>> 全家便利商店 板橋大雅店
27407 >>> 全家便利商店 板橋新光仁店
27409 >>> 全家便利商店 板橋漢江店
27413 >>> 美廉社 板橋仁愛店
27416 >>> 全家便利商店 板橋傑仕堡店
27422 >>> 全家便利商店 板橋廣隆店
27424 >>> 全家便利商店 板橋懷治店
27435 >>> 全家便利商店 板橋光復店
27436 >>> 全家便利商店 板橋新埔店
27437 >>> 全家便利商店 板橋樂福店
27441 >>> 全家便利商店 板橋文心店
27442 >>> 全家便利商店 板橋新都店
27449 >>> 7-ELEVEN 新巨蛋門市 
27463 >>> 全家便利商店 板橋擎天店
27469 >>> 7-ELEVEN 松林門市
27485 >>> 全家便利商店 板橋三民店
27494 >>> 全家便利商店 板橋公園店
27501 >>> 全家便利商店 板橋長民店
27513 >>> 全家便利商店 板橋麗寶店
27520 >>> 全家便利商店 板橋永安店
27521 >>> 全家便利商店 板橋宜居店
27523 >>> 全家便利商店 板橋金市店
27531 >>> 美廉社 板橋金華店
27539 >>> 全家便利商店 板橋溪崑店
27544 >>> 美廉社 板橋龍泉二店
27552 >>> 7-ELEVEN 光環門市
27553 >>> 全家便利商店 板橋富裕店
27555 >>> 全家便利商店 板橋松翠店
27561 >>> 全家便利商店 板橋東站店
27565 >>> 7-ELEVEN 柳豐門市
27572 >>> 全家便利商店 金山陽金店
27574 >>> 全家便利商店 基隆基金店
27575 >>> 全家便利商店 板橋致科店
27576 >>> 全家便利商店 板橋西環店
27580 >>> 7-ELEVEN 漢生東門市
27582 >>> 7-ELEVEN 板運門市
27587 >>> 全家便利商店 基隆萬金店
27588 >>> 全家便利商店 武勝店
27589 >>> 全家便利商店 基隆囍旺店
27593 >>> 全家便利商店 中和漢陽店
27594 >>> 全家便利商店 基隆情人湖店
27602 >>> 全家便利商店 基隆武嶺店
27607 >>> 全家便利商店 基隆新國揚店
27618 >>> 全家便利商店 基隆鑫忠二店
27622 >>> 全家便利商店 基隆龍騰店 
27630 >>> 全家便利商店 基隆仁愛店
27633 >>> 全家便利商店 汐止祥雲店
27639 >>> 義美食品 基隆仁二門市
27645 >>> 全家便利商店 基隆新祥豐店
27647 >>> OK便利商店 基隆建心店
27650 >>> 全家便利商店 基隆車站店
27651 >>> 全家便利商店 基隆鑫港店
27652 >>> 全家便利商店 基隆廟口店
27659 >>> 全家便利商店 七堵新明德店
27660 >>> 全家便利商店 七堵永富店
27679 >>> 7-ELEVEN 龍騰門市
27693 >>> 全家便利商店 基隆觀山店
27701 >>> 全家便利商店 基隆海洋店
27707 >>> 7-ELEVEN 信義路
27719 >>> 7-ELEVEN 宏圖門市 
27729 >>> 7-ELEVEN 瑞信門市
27732 >>> 美廉社 瑞芳大埔店
27734 >>> 7-ELEVEN 深瑞門市
27748 >>> 7-ELEVEN 坤海門市
27749 >>> 全家便利商店 基隆樂富店
27756 >>> 全家便利商店 汐止保興店
27774 >>> 萊爾富便利商店 汐止南興店
27792 >>> 7-ELEVEN 德厚門市
27794 >>> 全家便利商店 汐止導航店
27795 >>> 全家便利商店 汐止遠雄二店
27796 >>> 7-ELEVEN 福菖門市
27800 >>> 全家便利商店 永和新富店
27802 >>> 全家便利商店 永和復興店
27809 >>> 全家便利商店 土城峰吉店
27810 >>> 全家便利商店 安民店
27814 >>> 7-ELEVEN 錠富門市
27817 >>> 全家便利商店 宜蘭二城店
27820 >>> 全家便利商店 礁溪仁愛店
27822 >>> 全家便利商店 礁溪健康店
27824 >>> 全家便利商店 新店北宜店
27825 >>> 全家便利商店 新店美潭
27826 >>> 全家便利商店 新店龜山店
27828 >>> 全家便利商店 新店新陽店
27829 >>> 全家便利商店 烏來溫泉店
27830 >>> 全家便利商店 全家新店長春店
27835 >>> 全家便利商店 新店寶興店 
27841 >>> 全家便利商店 新店七張站店
27843 >>> 全家便利商店 新店鑫碧潭店
27845 >>> 全家便利商店 新店富強店
27846 >>> 全家便利商店 新店慶民店
27847 >>> 全家便利商店 新店新寶安店
27848 >>> 全家便利商店 新店站前
27849 >>> 全家便利商店 新店新文強店
27850 >>> 全家便利商店 新店金采店
27851 >>> 全家便利商店 新店忠誠 
27852 >>> 全家便利商店 新店光明店
27853 >>> 全家便利商店 新店光盛店
27855 >>> 全家便利商店 遠企門市
27856 >>> 全家便利商店 基隆吉市店
27859 >>> 全家便利商店 新店溪園 
27863 >>> 全家便利商店 基隆暖港店
27865 >>> 全家便利商店 七堵工明店
27866 >>> 全家便利商店 基隆金城店
27867 >>> 7-ELEVEN 仁寶門市 
27868 >>> 全家便利商店 土城福祥店
27871 >>> 全家便利商店 永和秀成店 
27872 >>> 全家便利商店 永和鼎豐店
27877 >>> 全家便利商店 土城青雲店
27879 >>> 全家便利商店 土城中央店
27880 >>> 全家便利商店 土城城堡店
27887 >>> 全家便利商店 土城龍山店
27891 >>> 美廉社 土城學成店
27896 >>> 全家便利商店 土城德清店
27897 >>> 全家便利商店 土城立雲店
27898 >>> 全家便利商店 土城新延店
27912 >>> 全家便利商店 土城永寧店
27914 >>> 美廉社 土城延吉店
27922 >>> 全家便利商店 土城義鴻店
27927 >>> 全家便利商店 土城大道店
27928 >>> 全家便利商店 土城行政店
27931 >>> 全家便利商店 土城新學店 
27936 >>> 全家便利商店 土城大安店 
27937 >>> 全家便利商店 土城德興店
27944 >>> 全家便利商店 土城新亞店
27951 >>> 全家便利商店 土城仁愛店
27952 >>> 全家便利商店 土城御昇店
27953 >>> 全家便利商店 土城青水店
27956 >>> 全家便利商店 土城寬樺店
27961 >>> 全家便利商店 土城吉美店
27965 >>> 全家便利商店 土城學林店
27971 >>> 7-ELEVEN 頂孝門市
27982 >>> 全家便利商店 土城裕勝店
27987 >>> 全家便利商店 土城永寧店
27999 >>> 全家便利商店 新店如意店
28001 >>> 全家便利商店 新店玫瑰店
28005 >>> 全家便利商店 新店襄陽店
28006 >>> 全家便利商店 新店城泰店
28007 >>> 全家便利商店 永業店
28009 >>> 全家便利商店 新店永安店
28012 >>> 全家便利商店 新店康橋店
28013 >>> 全家便利商店 新店德順店
28015 >>> 全家便利商店 新店僑信店
28021 >>> 全家便利商店 康德店
28025 >>> 7-ELEVEN 全新門市
28027 >>> 全家便利商店 新店德安店
28029 >>> 全家便利商店 朕新店 
28030 >>> 全家便利商店 新店新和店
28031 >>> 全家便利商店 新店安和店
28032 >>> 全家便利商店 新店中欣店
28036 >>> 全家便利商店 中和圓峰門市
28037 >>> 全家便利商店 新店皇家
28041 >>> 全家便利商店 陽光店
28042 >>> 全家便利商店 新店五豐店
28047 >>> 全家便利商店 新店安順店
28051 >>> 全家便利商店 新店正中店
28052 >>> 全家便利商店 新店民權店 
28057 >>> 全家便利商店 新店中華店
28059 >>> 全家便利商店 新店三福
28062 >>> 全家便利商店 新店新寶橋店 
28063 >>> 全家便利商店 新店新中央 
28064 >>> 全家便利商店 中和和連店
28065 >>> 全家便利商店 新店民德店
28068 >>> 全家便利商店 中和新平店 
28069 >>> 全家便利商店 中和華隆店
28071 >>> 全家便利商店 中和連福店
28072 >>> 全家便利商店 新店江陵店
28074 >>> 全家便利商店 正民店
28075 >>> 全家便利商店 新店民族店
28076 >>> 全家便利商店 新店新百合店
28082 >>> 全家便利商店 新店健民店
28089 >>> 全家便利商店 新店寶中店
28091 >>> 全家便利商店 中和世紀店 
28092 >>> 全家便利商店 中和新生店 
28096 >>> 全家便利商店 中和景會店 
28099 >>> 全家便利商店 新店大鵬店
28101 >>> 全家便利商店 樹林新柑園店
28107 >>> 全家便利商店 中和新正店
28109 >>> 全家便利商店 樹林佳瑪店
28115 >>> 全家便利商店 中和景平店
28121 >>> 全家便利商店 鶯歌車站店
28123 >>> 全家便利商店 樹林博愛店
28140 >>> 全家便利商店 鶯歌永明店
28154 >>> 全家便利商店 鶯歌國慶店
28185 >>> 全家便利商店 八德桃鶯店
28186 >>> 7-ELEVEN 龍武門市
28201 >>> 全家便利商店 三峽北苑店
28208 >>> 全家便利商店 三峽大勇店
28225 >>> 全家便利商店 樹林藝術店
28230 >>> 全家便利商店 三峽復興店
28242 >>> 全家便利商店 龜山德明店
28248 >>> 全家便利商店 三峽大同店
28265 >>> 全家便利商店 新店德正店
28267 >>> 全家便利商店 新店中盛店 
28272 >>> 全家便利商店 新店富橋店
28275 >>> 全家便利商店 新店復興店
28278 >>> 全家便利商店 新店福興店
28281 >>> 全家便利商店 新店中欣店
28283 >>> 全家便利商店 新店橋興店
28284 >>> 全家便利商店 新店正中店
28285 >>> 全家便利商店 新店莊敬店
28287 >>> 全家便利商店 新店寶元店
28288 >>> 全家便利商店 新店慈濟店
28289 >>> 全家便利商店 新店新寶工店 
28293 >>> 全家便利商店 新店民佳店
28295 >>> 全家便利商店 新店公宅店
28298 >>> 全家便利商店 中和中興店
28299 >>> 全家便利商店 中和南勢角店
28300 >>> 全家便利商店 中和烘爐店
28301 >>> 全家便利商店 中和秀山店
28302 >>> 全家便利商店 中和智山店
28303 >>> 全家便利商店 中和和興店
28306 >>> 全家便利商店 中和景明店
28307 >>> 全家便利商店 中和力行店 
28309 >>> 全家便利商店 中和勝華店
28311 >>> 全家便利商店 中和新興店
28318 >>> 全家便利商店 中和保健店
28320 >>> 全家便利商店 中和名揚店
28323 >>> 全家便利商店 中和中安店
28326 >>> 全家便利商店 中和遠建店
28329 >>> 全家便利商店 中和建新店
28333 >>> 全家便利商店 永和新樂新店
28334 >>> 全家便利商店 永和田單門市
28338 >>> 全家便利商店 永和環河店
28339 >>> 蜜鄰便利超市 永和民權店
28341 >>> 全家便利商店 永和新仁店
28348 >>> 全家便利商店 永和民有店
28354 >>> 全家便利商店 永和福和店
28355 >>> 全家便利商店 永和永福店 
28356 >>> 全家便利商店 永和得元店
28358 >>> 全家便利商店 永和得和店
28370 >>> 7-ELEVEN 保平門市 
28373 >>> 全家便利商店 永和正新店
28375 >>> 全家便利商店 中和安樂店
28378 >>> 全家便利商店 永和大福店 
28379 >>> 7-ELEVEN 永平門市 
28380 >>> 美廉社 永和福和店
28382 >>> 全家便利商店 永和國和店
28387 >>> 全家便利商店 永和得和店
28389 >>> 7-ELEVEN 保鑽門市 
28391 >>> 全家便利商店 永和國豔店 
28394 >>> 全家便利商店 永和竹勝店
28396 >>> 7-ELEVEN 昇陽門市 
28398 >>> 7-ELEVEN 永藝門市
28399 >>> 7-ELEVEN 仁愛門市 
28400 >>> 7-ELEVEN 添丁門市 
28406 >>> 全家便利商店 中和中和店
28410 >>> 萊爾富便利商店 北縣永遠店
28411 >>> 全家便利商店 永和國和店
28412 >>> 全家便利商店 永和御林店
28413 >>> 7-ELEVEN 麗金門市 
28414 >>> 全家便利商店 中和中鼎店 
28423 >>> 全家便利商店 中和名揚店
28424 >>> 7-ELEVEN 椰城門市 
28425 >>> 全家便利商店 中和勝鴻店
28429 >>> 全家便利商店 中和仁勇店
28430 >>> 7-ELEVEN 環和門市
28434 >>> 全家便利商店 中和福真店 
28441 >>> 全家便利商店 景秀店
28443 >>> 全家便利商店 中和連勝店
28449 >>> 萊爾富便利商店 興南店
28450 >>> 美廉社 中和華新店
28451 >>> 全家便利商店 蘆洲名族店
28452 >>> 全家便利商店 中和新中穗
28453 >>> 全家便利商店 中和中漢店
28460 >>> 全家便利商店 中和華樹店
28464 >>> 7-ELEVEN 家美門市 
28465 >>> 全家便利商店 中和華夏店
28467 >>> 全家便利商店 中和中環店
28471 >>> 全家便利商店 中和雙捷店
28475 >>> 全家便利商店 中和鑫發店
28481 >>> 全家便利商店 中和捷勝店
28485 >>> 全家便利商店 中和廣場店
28486 >>> 7-ELEVEN 漳和門市 
28487 >>> 全家便利商店 中和環球店
28490 >>> 全家便利商店 中和莒城店
28492 >>> 全家便利商店 新忠門市
28494 >>> 萊爾富便利商店 北縣橋安店
28495 >>> 全家便利商店 中和德民店
28497 >>> 7-ELEVEN 水源門市 
28502 >>> 全家便利商店 中和金原店
28515 >>> 7-ELEVEN 民華門市
28516 >>> 7-ELEVEN 福泉門市 
28517 >>> 7-ELEVEN 員新門市 
28531 >>> 全家便利商店 中和南興店
28533 >>> 全家便利商店 中和摩天店
28536 >>> 7-ELEVEN 景仁門市
28537 >>> 7-ELEVEN 福真門市 
28543 >>> 7-ELEVEN 安斌門市 
28544 >>> 全家便利商店 中和建新店
28546 >>> 全家便利商店 中和秀吉店
28549 >>> 7-ELEVEN 永中門市 
28551 >>> 全家便利商店 三峽新莉雅店
28552 >>> 全家便利商店 三峽同發店
28555 >>> 全家便利商店 新莊安和店
28563 >>> 7-ELEVEN 三角湧門市
28568 >>> 全家便利商店 三峽金同店
